                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.83794,                 0.4311,                 1.0021,                0.92744,                0.90152,                 0.9484,                0.60116,                 1.3149,                0.58603,                  1.274,             0.00028832,             0.00028832,             0.00028832
                     78,                0.84605,                0.43936,                 1.0064,                0.92837,                0.90152,                0.93739,                0.59565,                 1.3202,                0.57503,                 1.2636,             0.00026739,             0.00026739,             0.00026739
                     79,                0.83535,                0.43697,                0.98286,                  0.901,                0.90152,                0.92385,                0.57056,                 1.3492,                0.57715,                 1.2774,             0.00024719,             0.00024719,             0.00024719
                     80,                0.86301,                0.42263,                 1.0015,                0.92103,                0.90909,                0.94452,                0.59193,                 1.3314,                0.57882,                 1.2829,             0.00022775,             0.00022775,             0.00022775
                     81,                0.83533,                0.42191,                0.99793,                0.90885,                0.90646,                0.93894,                0.59526,                 1.2698,                0.56922,                 1.2551,             0.00020907,             0.00020907,             0.00020907
                     82,                0.83583,                0.42728,                0.98073,                0.89945,                0.90909,                0.93459,                0.57943,                 1.3165,                0.58009,                 1.2901,             0.00019119,             0.00019119,             0.00019119
                     83,                 0.8326,                0.41767,                 0.9892,                0.92203,                0.89591,                0.94253,                0.58557,                 1.3161,                0.57108,                 1.2957,             0.00017412,             0.00017412,             0.00017412
                     84,                0.81608,                0.40835,                0.98771,                0.91586,                0.90708,                 0.9479,                0.59636,                 1.3136,                0.57423,                 1.2813,             0.00015787,             0.00015787,             0.00015787
                     85,                0.82223,                0.41293,                 0.9905,                0.91046,                0.91667,                0.94416,                0.59639,                  1.326,                0.57229,                 1.2997,             0.00014246,             0.00014246,             0.00014246
                     86,                 0.8085,                0.41307,                0.98294,                0.91031,                 0.9227,                0.94325,                0.58924,                 1.3137,                0.57909,                 1.2835,              0.0001279,              0.0001279,              0.0001279
                     87,                0.79662,                0.40041,                0.98567,                0.91057,                0.92424,                 0.9453,                0.59494,                 1.3191,                0.58287,                 1.2788,             0.00011422,             0.00011422,             0.00011422
                     88,                0.79245,                0.40609,                0.97553,                0.91373,                0.92424,                0.94351,                0.59633,                 1.3232,                0.58006,                 1.2899,             0.00010142,             0.00010142,             0.00010142
                     89,                0.78466,                0.40504,                 0.9563,                0.91645,                0.91412,                0.94191,                0.59519,                  1.312,                0.57475,                 1.2985,             8.9521e-05,             8.9521e-05,             8.9521e-05
                     90,                 0.7849,                0.39376,                 0.9763,                0.91638,                 0.9132,                0.93809,                0.59063,                  1.309,                0.57335,                 1.2864,             7.8528e-05,             7.8528e-05,             7.8528e-05
                     91,                 0.7865,                0.40153,                0.97833,                0.91046,                0.90909,                0.93889,                0.59162,                 1.3183,                0.57377,                 1.2866,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     92,                0.77969,                0.39944,                0.97105,                 0.9104,                0.90909,                0.94614,                0.59434,                 1.3048,                0.57144,                 1.2818,             5.9309e-05,             5.9309e-05,             5.9309e-05
                     93,                0.78156,                0.39873,                0.97316,                0.91039,                 0.9236,                0.94852,                0.59855,                    1.3,                0.57368,                 1.2787,             5.1103e-05,             5.1103e-05,             5.1103e-05
                     94,                0.78452,                0.39502,                0.96698,                0.90828,                0.91667,                0.94463,                0.59562,                 1.3108,                0.57415,                 1.2779,             4.3842e-05,             4.3842e-05,             4.3842e-05
                     95,                0.78813,                0.39993,                0.97272,                0.90791,                0.91667,                0.94705,                0.60185,                 1.3119,                0.56634,                 1.2854,             3.7536e-05,             3.7536e-05,             3.7536e-05
                     96,                0.78298,                0.39529,                0.97456,                0.90969,                0.91568,                0.94908,                0.59999,                 1.3143,                0.56858,                 1.2889,             3.2189e-05,             3.2189e-05,             3.2189e-05
                     97,                0.76218,                0.39306,                0.96896,                0.90244,                0.91098,                0.94711,                0.59561,                 1.3148,                0.56995,                 1.2859,             2.7806e-05,             2.7806e-05,             2.7806e-05
                     98,                 0.7785,                0.39452,                0.96986,                0.92126,                0.90152,                0.94645,                 0.5903,                 1.3163,                0.57124,                 1.2932,             2.4394e-05,             2.4394e-05,             2.4394e-05
                     99,                0.77408,                0.38935,                0.96868,                 0.9124,                0.91667,                 0.9484,                0.59055,                 1.3167,                0.56977,                 1.2912,             2.1954e-05,             2.1954e-05,             2.1954e-05
